codigo,Estado en Web,articulo,descripcion,web,minimo,ultimoin,moneda,precio,familia,figaro,marca
CM-T2.15,1,PULIDORA 1400W INDUST.	TP1141806,"Pulidora marca TOTAL de línea IndustrialVoltaje de funcionamiento: 220V-240V ~ 50 / 60Hz<br>
Potencia de entrada: 1400W<br>
Velocidad sin carga: 900-3800rpm<br>
Diámetro de la almohadilla de pulido: 180 mm<br>
Caja de engranajes de aluminio duradero<br>
Incluye almohadilla de pulido<br>
Incluye bonete de pulido<br>
Presentación: set en caja",,2,,USD,99,TOTAL,PULIDORA 1400W INDUST.	TP1141806,
CM-T2.16,1,TALADRO ROTOMARTILLO 800W,"Voltaje: 220 - 240v / 50Hz<br>
Potencia: 800w<br>
Velocidad sin carga: 0 - 1200rpm<br>
Tiempo de impacto: 0 - 5300/min<br>
Fuerza de impacto: 2.5j<br>
Capacidad de perforación: concreto 26mm<br>
Encastre SDS plus",TH308266,2,1,USD,82,TOTAL,ROTO MARTILLO 800W	TH308266,TOTAL
CM-T2.17,2,ROTO MARTILLO 1800W INDUST.	TH118366,"Rotomartillo marca TOTAL, linea INDUSTRIAL<br>
Voltaje de funcionamiento: 220-240V ~ 50 / 60Hz<br>
Potencia de entrada: 1800W<br>
Velocidad sin carga: 850 rpm<br>
Tasa de impacto del percutor: 4200bpm<br>
Energía de impacto: 7.0J<br>
Capacidades de perforación máxima:<br>
&nbsp;Concreto: 36mm<br>
&nbsp;Acero: 13mm<br>
&nbsp;Madera: 42mm<br>
Sistema de mandril SDS plus<br>
Con 3 taladros y 2 cinceles.<br>
Control de perforación con o sin percutor<br>
Mango de seguridad ajustable y profundímetro<br>
Con valija plástica de seguridad",,2,,USD,173,TOTAL,ROTO MARTILLO 1800W INDUST.	TH118366,
CM-T2.18,1,MARTILLO DEMOLEDOR 1300W	TH213006,"Martillo de demolición marca TOTAL <br>
Línea INDUSTRIAL<br>
Voltaje y frecuencia de funcionamiento: 220V-240V ~ 50 / 60Hz<br>
Potencia de entrada: 1300W<br>
Tasa de impacto: 3800bmp<br>
Fuerza de impacto: 20J<br>
Sistema antivibratorio<br>
Sistema de mandril HEX<br>
Interruptor de demolacion 6Kgs<br>
Con 2 cinceles incluidos.<br>
Set en valija de alta resistencia",,2,,USD,160,TOTAL,MARTILLO DEMOLEDOR 1300W	TH213006,
CM-T2.20,1,MARTILLO DEMOLEDOR 1500W	TH215002,"Martillo de demolición marca TOTAL<br>
Línea INDUSTRIAL<br>
Voltaje y frecuencia de funcionamiento: 220-240V ~ 50 / 60Hz<br>
Potencia de entrada: 1500W<br>
Tasa de impacto: 1000-1900bmp<br>
Fuerza de impacto: 6-25J<br>
Sistema antivibratorio<br>
Escobillas de carbón de parada automática<br>
Sistema electrónico de potencia constante<br>
Sistema de cierre de cincel<br>
Sistema de mandril SDS-MAX<br>
Interruptor de demolacion 10 Kgs<br>
Incluye 2 cinceles.<br>
En valija plástica de alta resistencia",,2,,USD,299,TOTAL,MARTILLO DEMOLEDOR 1500W	TH215002,
CM-T2.21,2,SIERRA CIRCULAR 1400W,"Voltaje 220 - 240v / 50Hz<br>
Potencia 1400w ; 2 Hp<br>
Velocidad sin carga 4800 rpm<br>
Capacidad de corte 45°: 44mm / 90°: 65mm<br>
Diámetro de sierra 185mm<br>
Profundidad de corte ajustable<br>
Ángulo de corte ajustable de 0 a 45°<br>
Empuñadura ergonómica SoftGrip.",TS1141856,2,,USD,85,TOTAL,SIERRA CIRULAR 1400W	TS1141856,TOTAL
CM-T2.24,1,SIERRA CIRULAR 1400W CERAMICA 	TS3141102,"Cortadora de cerámica TOTAL<br>
Voltaje y frecuencia de funcionamiento: 220-240V ~ 50-60Hz<br>
Potencia de entrada: 1400W<br>
Velocidad sin carga: 13000 rpm<br>
Diámetro de cuchilla: 110x20mm.<br>
Capacidad de corte máximo: 34mm<br>
Profundidad de corte ajustable<br>
Empaque: caja de cartón",,2,,USD,71,TOTAL,SIERRA CIRULAR 1400W CERAMICA 	TS3141102,
CM-T2.26,1,ASPIRADOR SOPLADOR 800W - 	TB2086,"Aspirador soplador TOTAL 800W<br>
Incluye accesorios.<br>
Voltaje y frecuencias de funcionamiento: 220-240V ~ 50 / 60Hz<br>
Potencia de entrada: 800W<br>
Velocidad sin carga: 0-15000rpm<br>
Velocidad máxima de soplado: 0-4.5 m3 / min<br>
Velocidad variable<br>
Accesorios incluidos:<br>
&nbsp;&nbsp;1 unidad - bolsa de polvo<br>
&nbsp;&nbsp;1 unidad - tubo flexible<br>
&nbsp;&nbsp;2 pcs boquillas de succión<br>
Empaque: caja de cartón",,2,,USD,60,TOTAL,ASPIRADOR SOPLADOR 800W - 	TB2086,
CM-T2.28,1,AMOLADORA BANCO 350W - 	TBG35020,"Amoladora de banco marca TOTAL<br>
Voltaje y frecuencia de funcionamiento: 220-240V ~ 50Hz<br>
Potencia de entrada: 350W<br>
Velocidad sin carga: 2950 rpm<br>
Tamaño de la piedra: 200 mm (8&quot;&quot;）<br>
Estructura de aluminio de alta resistencia<br>
Base antideslizante<br>
Soporte de trabajo regulable y ajustable<br>
Llave de encendido/apagado<br>
Protector ocular transparente de seguridad <br>
Incluye caja de almacenamiento de la herramienta",,2,,USD,95,TOTAL,AMOLADORA BANCO 350W - 	TBG35020,
CM-T2.27,1,AMALODORA BANCO 150W - 	TBG15015,"Amoladora de banco marca TOTAL<br>
Voltaje y frecuencia de funcionamiento: 220-240V ~ 50Hz<br>
Potencia de entrada: 150W<br>
Velocidad sin carga: 2950 rpm<br>
Tamaño de la piedra: 150 mm (6&quot;&quot;）<br>
Estructura de aluminio de alta resistencia<br>
Base antideslizante<br>
Soporte de trabajo regulable y ajustable<br>
Llave de encendido/apagado<br>
Protector ocular transparente de seguridad <br>
Caja de almacenamiento de la herramienta 1pcs",,2,,USD,45,TOTAL,AMALODORA BANCO 150W - 	TBG15015,
